TEST_GROUP,RESOLVED_ENTITY_ID,MATCH_KEY,DATA_SOURCE,ENTITY_TYPE,RECORD_ID
TI-1000,TI-1000-1,anchor,TRUTH-SET1,PERSON,1001
TI-1000,TI-1000-1,resolve: name var | dob swap | address | phone swap (moved),TRUTH-SET1,PERSON,1002
TI-1000,TI-1000-1,resolve: name | dob | email,TRUTH-SET1,PERSON,1003
TI-1000,TI-1000-1,resolve: weak name | address | email,TRUTH-SET1,PERSON,1004
TI-1000,TI-1000-2,moved: name | address | drlic (better match to rob sr),TRUTH-SET1,PERSON,1005
TI-1000,TI-1000-2,related:  name | address | dob diff (causes un-merge),TRUTH-SET2,PERSON,1006
TI-1000,TI-1000-3,related: sur name | address  ,TRUTH-SET2,PERSON,1007
TI-1000,TI-1000-4,norelate:  name only,TRUTH-SET2,PERSON,1008
TI-1015,TI-1015-1,anchor,TRUTH-SET1,PERSON,1009
TI-1015,TI-1015-1,resolve: name var | dob format | address,TRUTH-SET1,PERSON,1010
TI-1015,TI-1015-1,moved: name var | dob | address,TRUTH-SET1,PERSON,1011
TI-1015,TI-1015-1,resolve: same name | dob  (adds Jed's address),TRUTH-SET2,PERSON,1012
TI-1015,TI-1015-1,resolve: diff name | ssn | dob | addr (causes re-resolve),TRUTH-SET2,PERSON,1014
TI-1015,TI-1015-3,anchor,TRUTH-SET1,PERSON,1015
TI-1015,TI-1015-3,resolve: name var | dob | addr,TRUTH-SET1,PERSON,1016
TI-1015,TI-1015-3,resolve: name | ssn ,TRUTH-SET1,PERSON,1017
TI-1015,TI-1015-3,resolve: name var | close dob | phone,TRUTH-SET1,PERSON,1018
TI-1015,TI-1015-4,related: sur name | address  | email,TRUTH-SET1,PERSON,1019
TI-1015,TI-1015-5,related: sur name | address  | email,TRUTH-SET1,PERSON,1020
TI-1015,TI-1015-5,resolve: no name | ssn | address | email (better match to Marsha),TRUTH-SET1,PERSON,1021
TI-1017,TI-1017-1,anchor,TRUTH-SET1,PERSON,1022
TI-1017,TI-1017-1,resolve: very close name  | dob,TRUTH-SET1,PERSON,1023
TI-1017,TI-1017-1,resolve:  name var  | dob,TRUTH-SET2,PERSON,1024
TI-1017,TI-1017-2,anchor,TRUTH-SET1,PERSON,1025
TI-1017,TI-1017-3,related: close name | dob (to darla),TRUTH-SET1,PERSON,1026
TI-1017,TI-1017-4,related: close name | dob (to darla),TRUTH-SET2,PERSON,1027
TI-1020,TI-1020-1,anchor,TRUTH-SET1,PERSON,1028
TI-1020,TI-1020-2,related: name | address | generation diff,TRUTH-SET2,PERSON,1029
TI-1021,TI-1021-1,anchor,TRUTH-SET1,PERSON,1030
TI-1021,TI-1021-1,resolve: close name | dob | address,TRUTH-SET1,PERSON,1031
TI-1022,TI-1022-1,anchor,TRUTH-SET1,PERSON,1032
TI-1022,TI-1022-1,resolve: name swap | dob swap | close phone,TRUTH-SET1,PERSON,1033
TI-1023,TI-1023-1,anchor,TRUTH-SET1,PERSON,1034
TI-1023,TI-1023-1,resolve: close name | dob | address,TRUTH-SET1,PERSON,1035
TI-1023,TI-1023-1,resolve: close name | dob | address,TRUTH-SET1,PERSON,1036
TI-1023,TI-1023-2,none: neither name or dob is close enough,TRUTH-SET2,PERSON,1037
TI-1023,TI-1023-1,resolve: weak name | dob | address | email,TRUTH-SET2,PERSON,1038
TI-1024,TI-1024-1,anchor,TRUTH-SET1,PERSON,1039
TI-1024,TI-1024-2,relate: name | diff dob | address ,TRUTH-SET1,PERSON,1040
TI-1024,TI-1024-3,relate: name | address (ambiguous),TRUTH-SET2,PERSON,1041
TI-1024,TI-1024-3,relate: name | address (ambiguous),TRUTH-SET2,PERSON,1042
TI-1025,TI-1025-1,anchor,TRUTH-SET1,PERSON,1043
TI-1025,TI-1025-2,relate: name | diff dob | address ,TRUTH-SET1,PERSON,1044
TI-1025,TI-1025-1,resolve: name | dob | passport (to patrick),TRUTH-SET1,PERSON,1045
TI-1025,TI-1025-2,resolve: name | dob | passport (to patricia),TRUTH-SET1,PERSON,1046
TI-1027,TI-1027-1,anchor,TRUTH-SET1,PERSON,1047
TI-1027,TI-1027-1,resolve: name var | email,TRUTH-SET1,PERSON,1048
TI-1027,TI-1027-1,resolve: name var | email,TRUTH-SET1,PERSON,1049
TI-1028,TI-1028-1,anchor,TRUTH-SET1,PERSON,1050
TI-1028,TI-1028-1,resolve: name var | dob | passport,TRUTH-SET1,PERSON,1051
TI-1028,TI-1028-1,resolve: name var | passport,TRUTH-SET1,PERSON,1052
TI-1029,TI-1029-1,anchor,TRUTH-SET1,PERSON,1053
TI-1029,TI-1029-2,anchor,TRUTH-SET1,PERSON,1054
TI-1029,TI-1029-1,resolve: pname | address | passport,TRUTH-SET1,PERSON,1055
TI-1029,TI-1029-2,resolve: pname| dob | address | drlic,TRUTH-SET1,PERSON,1056
TI-1030,TI-1030-1,anchor,TRUTH-SET1,PERSON,1057
TI-1030,TI-1030-2,relate: name only | diff email domain,TRUTH-SET1,PERSON,1058
TI-1031,TI-1031-1,anchor,TRUTH-SET1,PERSON,1059
TI-1031,TI-1031-1,resolve: name | phone (initial),TRUTH-SET1,PERSON,1060
TI-1031,TI-1031-2,anchor,TRUTH-SET1,PERSON,1061
TI-1031,TI-1031-2,resolve: name | phone (no first name),TRUTH-SET1,PERSON,1062
TI-1032,TI-1032-1,anchor,TRUTH-SET1,PERSON,1063
TI-1032,TI-1032-1,resolve: name | dob (adds passport),TRUTH-SET1,PERSON,1064
TI-1032,TI-1032-1,resolve: name | passport (adds drlic),TRUTH-SET1,PERSON,1065
TI-1032,TI-1032-1,resolve: name | drlic (adds ssn),TRUTH-SET1,PERSON,1066
TI-1032,TI-1032-1,resolve: name | ssn (adds address),TRUTH-SET1,PERSON,1067
TI-1032,TI-1032-1,resolve: name | address ,TRUTH-SET1,PERSON,1068
TI-2003,TI-2003-1,anchor,TRUTH-SET1,PERSON,1069
TI-2003,TI-2003-1,resolve: name | gender | address | nationalID,TRUTH-SET1,PERSON,1070
TI-2003,TI-2003-2,anchor,TRUTH-SET1,PERSON,1071
TI-2003,TI-2003-2,resolve: name | dob |  gender | address | nationalID,TRUTH-SET1,PERSON,1072
TI-2003,TI-2003-3,anchor,TRUTH-SET1,PERSON,1073
TI-2003,TI-2003-3,resolve: name | dob | gender | address,TRUTH-SET1,PERSON,1074
TI-2003,TI-2003-4,anchor,TRUTH-SET1,PERSON,1075
TI-2003,TI-2003-4,resolve: name | dob | gender | address,TRUTH-SET1,PERSON,1076
TI-2003,TI-2003-5,anchor,TRUTH-SET1,PERSON,1077
TI-2003,TI-2003-5,resolve: name | dob | address,TRUTH-SET1,PERSON,1078
TI-2004,TI-2004-1,anchor,TRUTH-SET1,PERSON,1079
TI-2004,TI-2004-1,resolve: name | dob | last4ssn,TRUTH-SET1,PERSON,1080
TI-1034,TI-1034-1,anchor,TRUTH-SET1,PERSON,1081
TI-1034,TI-1034-1,resolve: name | dob | address |passport,TRUTH-SET1,PERSON,1082
TI-1034,TI-1034-2,anchor,TRUTH-SET1,PERSON,1083
TI-1034,TI-1034-2,resolve: name | dob | address |passport,TRUTH-SET1,PERSON,1084
TI-1034,TI-1034-3,anchor,TRUTH-SET1,PERSON,1085
TI-1034,TI-1034-3,resolve: name | dob | phone |email,TRUTH-SET1,PERSON,1086
TI-1035,TI-1035-1,anchor,TRUTH-SET1,PERSON,1087
TI-1035,TI-1035-1,resolve: name | dob | phone | email | gender diff,TRUTH-SET1,PERSON,1088
TI-1035,TI-1035-3,anchor,TRUTH-SET1,PERSON,1089
TI-1035,TI-1035-4,resolve: name | dob | address | passport / diff generation,TRUTH-SET1,PERSON,1090
TI-1035,TI-1035-5,anchor,TRUTH-SET1,PERSON,1091
TI-1035,TI-1035-5,resolve: name | dob | phone |email,TRUTH-SET1,PERSON,1092
TI-1036,TI-1036-1,anchor,TRUTH-SET1,PERSON,1093
